Entry #,Pseudo-Page,Chuukese Word / Form,Part of Speech,English Definition,Examples,Notes
3125,233,us	you them  us	(pronouns,,"see pg.1, #4)",,Extracted from page 233
3126,233,silelap,,"knowledgeable, having advance knowledge",,Extracted from page 233
3127,233,silelapen,,"knowledgeable of esilesil – announce, publicize",,Extracted from page 233
3128,233,esilesilfeil,,spread knowledge sileit fau – stone tablet,,Extracted from page 233
3129,233,siles,,spear silifer – silver,,Extracted from page 233
3130,233,silin,,skin of	(fruits),,Extracted from page 233
3131,233,sill,,"recognize, identify",,Extracted from page 233
3132,233,silleló,,recognized,,Extracted from page 233
3133,234,silleni,,"recognize, identify",,Extracted from page 234
3134,234,esilla,,to recognize,,Extracted from page 234
3135,234,esissil,,sign,,Extracted from page 234
3136,234,esissillaatá,,"indicate, ‘sign esissillaatáán – representation of",,Extracted from page 234
3137,234,esissillen,,"sign, symbolic of",,Extracted from page 234
3138,234,simpung,,newspaper,,Extracted from page 234
3139,234,simpungun,,newspaper of sip – ship,,Extracted from page 234
3140,234,sipa,,"grass, lawn sipai – drama	(a play) sipeéch – skillful",,Extracted from page 234
3141,234,sipeéchún,,skillfulness of sipeéchúló – skillful,,Extracted from page 234
3142,234,sipiringú,,T-shirt,,Extracted from page 234
3143,234,sipirinúún,,T-shirt of,,Extracted from page 234
3144,234,sirkumsais,,circumcise,,Extracted from page 234
3145,234,sirkumsaisi,,to circumcise sirkumsaisini – to be circumcised,,Extracted from page 234
3146,234,sitowa,,"store	(market, etc.)	(Chuukese pronuncation of English “store”)",,Extracted from page 234
3147,234,siwil,,change	(see “wil”),,Extracted from page 234
3148,235,skeng,,test	(in school),,Extracted from page 235
3149,235,sochoul,,"unpopular, disliked",,Extracted from page 235
3150,235,sochungio,,"graduation, graduate, graduated soffei – wipe	(with cloth)",,Extracted from page 235
3151,235,sókkun,,"type of, kind of, sort, variety sókkó – different",,Extracted from page 235
3152,235,sókkó seni,,"different from, unique asokkaaló – to make different asókkafesenni – differenciate asókkafeseniir – differenciate between them",,Extracted from page 235
3153,235,sókkóló,,different,,Extracted from page 235
3154,235,sókkólóón,,differences of sókkólóór –,,Extracted from page 235
3155,235,sókkóló aúcheaan,,special sókkófesen – different,,Extracted from page 235
3156,235,sókkófeseniir,,their differences sókkófesenin– difference between,,Extracted from page 235
3157,235,sókkópat,,"variety, diverse sókkópaten – variety of sókósókópat – variety",,Extracted from page 235
3158,235,sokun,,egg,,Extracted from page 235
3159,235,sokunnen,,egg of,,Extracted from page 235
3160,235,sokunnuni,,possesing the eggs solá – steal,,Extracted from page 235
3161,235,soláái,,stolen soláán – stealing of solááni – to steal,,Extracted from page 235
3162,235,osolá,,clam that something is stolen osoláái – accuse someone of stealing,,Extracted from page 235
3163,235,solap,,"misfortune, waste	(time, things, etc.)",,Extracted from page 235
3164,235,asolapa,,to waste,,Extracted from page 235
3165,235,solapaan,,"what a waste, too bad",,Extracted from page 235
3166,236,som,,"approximately, around, just about	(usually used after a number figure)",,Extracted from page 236
3167,236,somá,,corpse	(see “má”),,Extracted from page 236
3168,236,somwólóón,,song – angry,,Extracted from page 236
3169,236,songen,,anger of songokkái – anger quickly,,Extracted from page 236
3170,236,songommang,,slow to anger,,Extracted from page 236
3171,236,songommangfengen,,all being slow to anger songommangen – slow to anger of,,Extracted from page 236
3172,236,songottam,,"stays angry, hold a grudge",,Extracted from page 236
3173,236,songottamen,,holding a grudge	(not letting go),,Extracted from page 236
3174,236,nisossong,,always angry nisossongen – always angry of,,Extracted from page 236
3175,236,ningeringer,,(furious),,Extracted from page 236
3176,236,sonoló,,lured	(sense of entice),,Extracted from page 236
3177,236,sooko,,storage,,Extracted from page 236
3178,236,sop,,wash	(clothes),,Extracted from page 236
3179,237,sopai,,business,,Extracted from page 237
3180,237,chon sopai,,businessman	(person that does business),,Extracted from page 237
3181,237,sópw,,village,,Extracted from page 237
3182,237,sópwun,,village of,,Extracted from page 237
3183,237,sópwei,,"continue, proceed	(time, life, etc.)",,Extracted from page 237
3184,237,sóssópwei,,continuing sópweló – continue,,Extracted from page 237
3185,237,sóssópweló,,"continuing sópwósópw – continue, continuing",,Extracted from page 237
3186,237,sópwósópwóló,,continuing sópwósópwun – continuation of sópwósópwólóón – continuation of,,Extracted from page 237
3187,237,sóssópwósópwóló,,continuing on	(reduplication also conveys repetitive action),,Extracted from page 237
3188,237,sópwósópwoto,,continue to come,,Extracted from page 237
3189,237,sopw,,"end, terminate",,Extracted from page 237
3190,237,sopwolo,,end	(life: polite form),,Extracted from page 237
3191,237,sopwolóón,,end of,,Extracted from page 237
3192,237,le sopwolóór,,their death asopwaaló – vt to end,,Extracted from page 237
3193,238,lesopwolóón,,at the end of,,Extracted from page 238
3194,238,sópwéch,,"successful, turn out well",,Extracted from page 238
3195,238,sópwéchún,,success of asópwéchú – to make it successful,,Extracted from page 238
3196,238,sópwóngaw,,"unsuccessful, fair badly",,Extracted from page 238
3197,238,sópwóngawen,,failure of,,Extracted from page 238
3198,238,sórosór,,"character, quality	(of one’s action)",,Extracted from page 238
3199,238,sórongaw,,"unkind, treacherous, dirty or ugly appearing sórosóróngaw",,Extracted from page 238
3200,238,sóropwang,,permissive,,Extracted from page 238
3201,238,sóropwangen,,clumsiness of sor – to face	(direction),,Extracted from page 238
3202,239,sossoren,,face in the direction of lesossor – morning,,Extracted from page 239
3203,239,lesossorun,,morning of,,Extracted from page 239
3204,239,lesossorusich,,early morning just before dawn sorosorun – morning of,,Extracted from page 239
3205,239,sossoran,,the next morning,,Extracted from page 239
3206,239,sorotáán ewe soran,,"the next morning soro, -to, -lo, -tá, -tiw, -long, -wu – face toward",,Extracted from page 239
3207,239,sorei,,"turn, change direction of	(can be used figuratively)",,Extracted from page 239
3208,239,sosoicha,,embryo,,Extracted from page 239
3209,239,sotiw,,"land	(bird, plane)",,Extracted from page 239
3210,239,sótun,,"try, test",,Extracted from page 239
3211,239,sótuni,,"to test, try",,Extracted from page 239
3212,239,sóssót,,"test, trial, temptation",,Extracted from page 239
3213,240,sóssótun,,test of,,Extracted from page 240
3214,240,sóssótuni,,keep testing	(reduplication also conveys repetitive action),,Extracted from page 240
3215,240,asóssót,,"practice, rehearse sotup – corpse, body of a dead person",,Extracted from page 240
3216,240,sou,,usually indicates skill soufós – prophet,,Extracted from page 240
3217,240,soufósun,,prophet of souemmwen – leader,,Extracted from page 240
3218,240,souemmwenien,,leader of,,Extracted from page 240
3219,240,sounfiu,,fighter	(person that likes to fight),,Extracted from page 240
3220,240,soufiu,,soldier,,Extracted from page 240
3221,240,soufiun,,soldier of soumak – author,,Extracted from page 240
3222,240,soumakkeei,,writer,,Extracted from page 240
3223,240,souan,,stewart	(house manager),,Extracted from page 240
3224,240,souani,,"to manage, manages",,Extracted from page 240
3225,240,soumas,,shepherd	(religious sense),,Extracted from page 240
3226,240,soumasen,,shepherd of,,Extracted from page 240
3227,240,chon masen siip,,shepherd of sheep,,Extracted from page 240
3228,240,souáák,,scientist	(thinker),,Extracted from page 240
3229,240,souasor,,priest,,Extracted from page 240
3230,240,sou awarawar,,spirit medium soufúú – astrologer,,Extracted from page 240
3231,241,soufénú,,land owner soukapwúng – judge,,Extracted from page 241
3232,241,souleng,,"a Christian in good standing souppek – marksman, shooter sounkoa – deacon",,Extracted from page 241
3233,241,sounpeták,,pastor spai – spy,,Extracted from page 241
3234,241,ssá,,run,,Extracted from page 241
3235,241,sássá,,running	(reduplication also conveys repetitive action),,Extracted from page 241
3236,241,sensú,,runner ssaar – knife,,Extracted from page 241
3237,241,ssár,,trap,,Extracted from page 241
3238,241,ssáren,,trap of,,Extracted from page 241
3239,241,sássár,,trapping	(reduplication also conveys repetitive action),,Extracted from page 241
3240,241,sássárin,,trapping of ssenúk – extreme,,Extracted from page 241
3241,241,essenúkú,,"to intensify, make excessive",,Extracted from page 241
3242,241,ssúr,,"flow, drip	(rain, tears)",,Extracted from page 241
3243,241,ssúrún,,flowing of,,Extracted from page 241
3244,241,assúrú,,cause to flow	(to fill a cup),,Extracted from page 241
3245,241,ssú,,"flee, run away",,Extracted from page 241
3246,241,ssú seni,,flee from,,Extracted from page 241
3247,241,ssúló,,"flee, go away	(strong language depending on tone of voice)",,Extracted from page 241
3248,242,assúóló,,chase away ssúsú – fly,,Extracted from page 242
3249,242,súsúfeil,,fly about ssúsúún –,,Extracted from page 242
3250,242,ssúúri,,"run away to, catch a cold",,Extracted from page 242
3251,242,éssúúsú,,run away with,,Extracted from page 242
3252,242,éssú,,take away,,Extracted from page 242
3253,242,su,,leave,,Extracted from page 242
3254,242,suló,,leave,,Extracted from page 242
3255,242,súfél,,respect	(for someone of a higher station – similar to “mennin”),,Extracted from page 242
3256,242,ésúfélú,,respectful súfélún – respect of súféliiti – to show respect,,Extracted from page 242
3257,242,súfélúngaw,,disrespectful,,Extracted from page 242
3258,242,súfélúngaweiti,,be disrespectful toward,,Extracted from page 242
3259,243,ésúfélúngaw,,disrespectful,,Extracted from page 243
3260,243,suke,,sugar,,Extracted from page 243
3261,243,sukeeni,,to apply sugar sukul – school,,Extracted from page 243
3262,243,sukulen,,school of,,Extracted from page 243
3263,243,sussukul,,"attending school, learning asukul – education",,Extracted from page 243
3264,243,asukula,,to teach,,Extracted from page 243
3265,243,akkasukula,,teaching	(reduplication also conveys repetitive action),,Extracted from page 243
3266,243,sumw,,droop,,Extracted from page 243
3267,243,osumwu,,v cause to droop eiesumw – drowsy,,Extracted from page 243
3268,243,súngúrúngúr,,crunchy,,Extracted from page 243
3269,243,assúngúrú,,"v to crunch supw – drip, drop",,Extracted from page 243
3270,243,osupwu,,"v., vt. cause to drip supwutiw – drip down",,Extracted from page 243
3271,244,sussupw,,dripping	(reduplication also conveys repetitive action),,Extracted from page 244
3272,244,supwun,,drop of	(water) supwuri – catch	(in the hand) súsú – dust,,Extracted from page 244
3273,244,súsúún pwul,,dust	susuun ppwul súsúún – dust of,,Extracted from page 244
3274,244,suuk,,open,,Extracted from page 244
3275,244,suuksefal,,open again sussuuk – opened,,Extracted from page 244
3276,244,suuki,,vt. to open	(takes on a subject),,Extracted from page 244
3277,244,susuuki,,opening	(reduplication also conveys repetitive action),,Extracted from page 244
3278,244,suukun,,opening of suukuló – opened,,Extracted from page 244
3279,244,suukaaló,,leave open,,Extracted from page 244
3280,244,suuk ngeni,,open to suupwa – cigarette,,Extracted from page 244
3281,244,suus,,shoes,,Extracted from page 244
3282,244,ta,,"broken, destroyed	(relationships, peace, pisek, house, etc.)",,Extracted from page 244
3283,245,taló,,"broken, destroyed takái – break easily tatakkis – demolished",,Extracted from page 245
3284,245,tatakkisóló,,"destroyed, demolished tatakkisin – destruction of atatakkisi – to demolish",,Extracted from page 245
3285,245,atatakkisien,,destruction by tatiw – broke down,,Extracted from page 245
3286,245,tatiwen,,"broken down of atai – vt. to break, destroy",,Extracted from page 245
3287,245,ataieló,,destroyed kata – v. to cause destruction,,Extracted from page 245
3288,245,kataan,,destruction of kataaló – destroyed,,Extracted from page 245
3289,245,kataalóón,,destruction of,,Extracted from page 245
3290,245,táikú,,carpentry,,Extracted from page 245
3291,245,chón táikú,,carpenter táikúúni – do carpentry work,,Extracted from page 245
3292,245,taiso,,carpentry	(Japanese word) taka – very ripe coconut	(hard meat) takir – laugh,,Extracted from page 245
3293,245,takiri,,laugh at,,Extracted from page 245
3294,245,tattakir,,laughing	(redupication also conveys repetitive action),,Extracted from page 245
3295,245,attakirikir,,funny	(comical),,Extracted from page 245
3296,245,takises,,tax	(Chuukese pronunciation of English “taxes”),,Extracted from page 245
3297,245,takisesin,,"taxes of tánechepwák – indifferent, nonchalant",,Extracted from page 245
3298,245,tánecheló,,indifferent	(constantly so),,Extracted from page 245
3299,245,tánipi,,garden,,Extracted from page 245
3300,246,tánipiin,,garden of,,Extracted from page 246
3301,246,táppin,,"contemporary, generation	(persons alive at the same time)",,Extracted from page 246
3302,246,tapw,,"follow, after",,Extracted from page 246
3303,246,tapwei,,"follow, go after",,Extracted from page 246
3304,246,tapwoto mwiri,,"follow, come after me	(see “mwirin”for other pronouns)",,Extracted from page 246
3305,246,tattapwei,,following after	(reduplication also conveys repetitive action),,Extracted from page 246
3306,246,ouwotapw,,succession	(happen quickly one after another),,Extracted from page 246
3307,246,akkatapw,,(same as “ouwotapw”),,Extracted from page 246
3308,246,táringei,,"to tear, torn",,Extracted from page 246
3309,246,taropwe,,paper	(also see “chéén”),,Extracted from page 246
3310,246,taropween,,paper of,,Extracted from page 246
3311,246,tawe,,able to overcome or do something,,Extracted from page 246
3312,247,tawengaw,,busy	(sense of unable to accomplish everything),,Extracted from page 247
3313,247,atawe,,remedy,,Extracted from page 247
3314,247,ataween,,"remedy of ataweei – to solve, overcome",,Extracted from page 247
3315,247,chon ataweei,,(solver),,Extracted from page 247
3316,247,té,,reef	(uninhabited reef island),,Extracted from page 247
3317,247,téé (1),,"crawl, climb",,Extracted from page 247
3318,247,"téé, -tá, -tiw",,climb,,Extracted from page 247
3319,247,up down	(directionals,,"see page 1, #5)",,Extracted from page 247
3320,247,tééki,,"climb on, attack",,Extracted from page 247
3321,247,tééfetál,,"crawl around, spread about mantété – crawling animal",,Extracted from page 247
3322,247,téé (2),,reef tefil – devil,,Extracted from page 247
3323,247,tekia,,"height, high, greatness, exalt tekian – it’s height",,Extracted from page 247
3324,247,tekien,,height of tekiatá – exalted,,Extracted from page 247
3325,247,átekiatá,,"to exalt, make greater átekiatáán – exaltation of átekiatáái – to exalt",,Extracted from page 247
3326,247,átekiaretá,,to exalt them átekiakichetá – to exalt us,,Extracted from page 247
3327,247,tekison,,"lowly, humble",,Extracted from page 247
3328,247,tipetekison,,humble tekisosson – humble,,Extracted from page 247
3329,247,átekisona,,vt. to make humble,,Extracted from page 247
3330,248,átekisonaatiw,,to humble telefon – telephone,,Extracted from page 248
3331,248,telinimw,,city,,Extracted from page 248
3332,248,telinimwen,,city of telinimwen op – city of refuge,,Extracted from page 248
3333,248,télú,,wash	(dishes),,Extracted from page 248
3334,248,téttén,,washing	(reduplication also conveys repetitive action),,Extracted from page 248
3335,248,téén,,washing of télawu – erase,,Extracted from page 248
3336,248,télaalo,,"erase away, wash away",,Extracted from page 248
3337,248,ten,,melt,,Extracted from page 248
3338,248,teniló,,"melt, melted",,Extracted from page 248
3339,248,etenaaló,,to melt away eteni – to melt it,,Extracted from page 248
3340,248,keten mechá,,furnace to melt metal tenchi – battery,,Extracted from page 248
3341,248,tencho,,ceiling,,Extracted from page 248
3342,248,tenechepwák,,(see “tánechepwák”),,Extracted from page 248
3343,248,tengki,,"light (electric), flashlight tépaat –",,Extracted from page 248
3344,248,tepereni,,expect,,Extracted from page 248
3345,249,tepkiri,,"finish tape of a race ter – flawed, defective",,Extracted from page 249
3346,249,terin,,"defect of tereféúféú – stony, lumpy terekkikin – screech, squeal teete – sew",,Extracted from page 249
3347,249,tettel,,"arrangement in succession, in a row, generation, tettelin – arrangement, generation of",,Extracted from page 249
3348,249,teliló,,"walk or stand in line, march in line tetteliló – line up, arrange in order tettelitiw – line up",,Extracted from page 249
3349,249,tetteléch,,"well arranged, in good order tettelingaw – be in disorder, out of order átettel – lined up, succession, arrange",,Extracted from page 249
3350,249,átetteli,,"line up, put in rows átettelaatá – stack up átettelaatiw – arrange",,Extracted from page 249
3351,249,átetteliéchú,,to arrange properly,,Extracted from page 249
3352,249,átettelifichi,,(same as “átetteliéchú”),,Extracted from page 249
3353,249,terú,,"fad, common",,Extracted from page 249
3354,249,ti,,"crowded together, pushed together",,Extracted from page 249
3355,249,etia,,"to crowd together, to push together etieti – crowded, cut in line",,Extracted from page 249
3356,249,etietifengen,,"crowded into a limited space etieppachfengen – crowded	(people, houses, objects)",,Extracted from page 249
3357,250,tichik,,"detailed, exact, demanding tichikin – details of",,Extracted from page 250
3358,250,tichiki,,give details,,Extracted from page 250
3359,250,tii,,"pushed, shoved, sent",,Extracted from page 250
3360,250,"tiinaa, -to,-ló, -tá, -tiw, -long,-wu",,to send,,Extracted from page 250
3361,250,tiini,,to send,,Extracted from page 250
3362,250,tiiti,,"sent for, summoned",,Extracted from page 250
3363,250,tii seni,,"keep away, avoid",,Extracted from page 250
3364,250,tikak,,tight fitting	(clothes),,Extracted from page 250
3365,250,tikakak,,really tight fitting tikek – needle	(sewing) tikot – wall,,Extracted from page 250
3366,250,tikoten,,wall of tinekeniken –	tinikken,,Extracted from page 250
3367,250,tinekenikenin,,"tingor – request, plea",,Extracted from page 250
3368,250,tittingor,,requesting	(reduplication also conveys repetitive action),,Extracted from page 250
3369,251,tingorei,,vt. to request,,Extracted from page 251
3370,251,tittingorei,,making a request tingoren – request of,,Extracted from page 251
3371,251,tingormaú,,"implore, request earnestly",,Extracted from page 251
3372,251,tittingormaú,,imploring	(reduplication also conveys repetitive action),,Extracted from page 251
3373,251,tini,,to smell,,Extracted from page 251
3374,251,tinikken,,"diligent, industrious, zeal",,Extracted from page 251
3375,251,tinikkenin,,diligence of tinikkop – lazy,,Extracted from page 251
3376,251,tinikkopuló,,"idle, slow tinukóló –",,Extracted from page 251
3377,251,tip,,heart	(figurative),,Extracted from page 251
3378,251,tipen,,heart of,,Extracted from page 251
3379,251,letip,,"heart	(figurative, not literal heart. See “heart” in the English to Chuukese dictionary)",,Extracted from page 251
3380,252,letipen,,heart of letipwenechar – honest hearted tipewenechar – honest hearted,,Extracted from page 252
3381,252,letipechou,,sad	(heavy heart),,Extracted from page 252
3382,252,letipechoun,,sadness of,,Extracted from page 252
3383,252,letipeta,,"mourn, grief stricken",,Extracted from page 252
3384,252,letipetaan,,mourning of eletipetai – cause to grieve,,Extracted from page 252
3385,252,letipengaw,,"downhearted, discouraged letipengawaló –",,Extracted from page 252
3386,252,letipengaweló,,dismayed,,Extracted from page 252
3387,252,tipachem,,"wise, smart, intelligent",,Extracted from page 252
3388,253,tipachemen,,"intelligence of tipachemeló – smart, wise",,Extracted from page 253
3389,253,tiparoch,,ignorant	(see “roch”),,Extracted from page 253
3390,253,tiparochón,,ignorance of,,Extracted from page 253
3391,253,tipeeú,,"agree, harmony, cooperate, united tipeeúún",,Extracted from page 253
3392,253,tipeeuin,,"unity, harmony of tipeeúich",,Extracted from page 253
3393,253,tipeeúfengen,,"all in agreement, united tipeeúfengennin – agreement of",,Extracted from page 253
3394,253,etipeeú,,"agreement, contract, understanding etipeeúfengeni – bring all in harmony, agreement",,Extracted from page 253
3395,253,tipefesen,,disagreeable tipefesennin – disagreement of,,Extracted from page 253
3396,253,tipefesir,,calm heart,,Extracted from page 253
3397,253,etipefesira,,to calm the heart tipekinikin – divided heart,,Extracted from page 253
3398,253,tipekoum,,angry of heart displayed on face or action tipemaras – bitterness	(feeling),,Extracted from page 253
3399,253,tipemecheres,,"yielding, easy going tipemecheresin – yielding of",,Extracted from page 253
3400,253,tipemirit,,wise heart,,Extracted from page 253
3401,253,tipemiritin,,wise heart of tipemmong –greedy,,Extracted from page 253
3402,254,tipemmóngun,,"greediness of tipelap – selfish, greedy",,Extracted from page 254
3403,254,tipemwaramwar,,"doubt, doubtful tipemwaramwaren – doubtfulness of tipemwaramareiti – to doubt",,Extracted from page 254
3404,254,tipeni,,"like, want tipengaw – feel hurt,",,Extracted from page 254
3405,254,tipitipingaw,,feeling guilty (sense of knowing you’re wrong and showing it mostly by body language),,Extracted from page 254
3406,254,lonely,,(because of being alone),,Extracted from page 254
3407,254,tipenmwán,,mature,,Extracted from page 254
3408,254,tipemwánin,,"matureness of tipepéchékkúl – strong-minded, willful",,Extracted from page 254
3409,254,tipepéchékkúlen,,willfulness of,,Extracted from page 254
3410,254,tipeppós,,"determine	(firm, steadfast)",,Extracted from page 254
3411,254,tipeppsósóló,,"be steadfast, determined tipeppósun – steadfastness of",,Extracted from page 254
3412,254,tipepwetete,,soft hearted,,Extracted from page 254
3413,254,tipepweteteen,,soft heartedness of tipepweteteló – to be soft hearted,,Extracted from page 254
3414,254,tipepwora,,brave heart tiperuweru – indecisive,,Extracted from page 254
3415,254,tipetekia,,"prideful, high minded tipetekien – pridefulness of",,Extracted from page 254
3416,254,tipetekison,,humble,,Extracted from page 254
3417,254,etipetkisonaatiw,,"cause to be humble, humbled tipeteksonun – humility of",,Extracted from page 254
3418,254,tipetipeló,,infuenced by,,Extracted from page 254
3419,255,tipeweires,,"unyielding, strict, stubborn tipeweiresin – unyieldingness of",,Extracted from page 255
3420,255,tipin,,pretend	(by action),,Extracted from page 255
3421,255,tipitipin,,"counterfit, not real, pretending",,Extracted from page 255
3422,255,tipi ngeni,,"to wrongly blame, accuse",,Extracted from page 255
3423,255,tipimwáál,,"wrongly accused tipis – sin, mistake",,Extracted from page 255
3424,255,etipisi,,accuse,,Extracted from page 255
3425,255,tittipis,,sinning	(reduplication also conveys repetitive action),,Extracted from page 255
3426,255,tipisin,,"sin, mistake of tipisichou – serious sin",,Extracted from page 255
3427,255,tipisilap,,(same as “tipisichou”)	(more commonly used),,Extracted from page 255
3428,255,"tirou wó, -óm, -ómi",,"excuse me	(polite when walking in front of someone standing or sitting) you	you	(pronouns – see pg.1, #4)",,Extracted from page 255
3429,255,ttit,,"fence, wall	(around a city or area)",,Extracted from page 255
3430,256,tittin,,"fence, wall of",,Extracted from page 256
3431,256,tittin maun,,shield	(carried by a soldier),,Extracted from page 256
3432,256,ttiti,,"to fence in, enclose ttitiló – fenced",,Extracted from page 256
3433,256,ttitieló,,"to fence, to enclosed tittiap – compromise",,Extracted from page 256
3434,256,tiu,,nine,,Extracted from page 256
3435,256,etiwachéén,,ninth flat object tiupúkú – nine hundred,,Extracted from page 256
3436,256,tiu ngeréú,,nine thousand,,Extracted from page 256
3437,256,tiw,,v  go down	(also directional suffix “down” – see page 1 #4),,Extracted from page 256
3438,256,tiwetiw,,"get off	(boat, vehicle, plane)",,Extracted from page 256
3439,256,tiwetá,,get on tiweló – escape etiwaaló – miss,,Extracted from page 256
3440,256,etiwaatiw,,"leave out, omit",,Extracted from page 256
3441,256,tók,,deviate,,Extracted from page 256
3442,256,tókóló,,deviated,,Extracted from page 256
3443,256,tókó seni,,deviate from,,Extracted from page 256
3444,256,tokorárá,,"complex, complicated, hard to understand tókter – doctor",,Extracted from page 256
3445,256,tokterin,,"doctor of tolong – enter, go in, come in",,Extracted from page 256
3446,257,tolongsefál,,"come in again, return tésefálielong – come in again, return to atolonga – vt. to take, bring inside",,Extracted from page 257
3447,257,ton,,visible at a distance,,Extracted from page 257
3448,257,tonoló,,"barely visible at a distance tong – love, affection, pity",,Extracted from page 257
3449,257,tongei,,to love,,Extracted from page 257
3450,257,tongen,,love of tongeásini –,,Extracted from page 257
3451,257,tongfengen,,love each other tongommang – return love very slowly attong – pity,,Extracted from page 257
3452,257,tongeni,,can,,Extracted from page 257
3453,257,tóófi,,"wipe (with hand), caress, pet an animal topw – obscure, cloudy",,Extracted from page 257
3454,257,topwutopw,,"blurred, obscured	topotop toputop otopwu – to make cloudy, obscured",,Extracted from page 257
3455,257,atopwaaló,,"obscured, clouded over tori – until, to, get there, arrive",,Extracted from page 257
3456,257,tottori,,"arriving, coming upon	(reduplication also conveys repetitive action)",,Extracted from page 257
3457,258,toro,,train by use	(muscles),,Extracted from page 258
3458,258,torongki,,drunk,,Extracted from page 258
3459,258,tór,,"untidy, messy, scattered",,Extracted from page 258
3460,258,tórópas,,"disarray, disorganized, scattered atórópasa – vt. to scatter",,Extracted from page 258
3461,258,tórópasfetál,,scattered about,,Extracted from page 258
3462,258,tórótóréch,,"orderly, neat, tidy, organized, tórótóróngaw – untidy, messy",,Extracted from page 258
3463,258,tour (1),,passed on,,Extracted from page 258
3464,258,chon atour,,"carrier, messenger atoura – to pass on,",,Extracted from page 258
3465,258,tour (2),,arrive,,Extracted from page 258
3466,258,towau,,far,,Extracted from page 258
3467,258,"towau, -an, -er, -ach",,"(my, your, etc.)	distance atowaua – to make distance from",,Extracted from page 258
3468,258,towauóló,,far away towauan – farness of towaufesen – far apart,,Extracted from page 258
3469,258,towaufesennir,,they’re far apart atowauafeseni – place apart	(takes on a subject),,Extracted from page 258
3470,258,towu,,"go outside, leave, remove",,Extracted from page 258
3471,259,atowu,,"to remove, to take or make one go outside atowusefáli – take one out again",,Extracted from page 259
3472,259,katowu,,"release (make available), removed, left, disfellowshiped ttam – long, tall	(length, height, time)",,Extracted from page 259
3473,259,attamaaló,,"to lengthen, heighten, extend ttamen – length, height of",,Extracted from page 259
3474,259,langattam,,"long, high",,Extracted from page 259
3475,259,langattamóló,,"extension in time, length or height langatattam – lengthy",,Extracted from page 259
3476,259,tter,,"devastated, destroyed, demolished, laid waste, terminated átteri – lay waste, to devastate	(“etteri” – alternate spelling)",,Extracted from page 259
3477,259,átterieló,,"to devastate, destroy kitetter – demolished",,Extracted from page 259
3478,259,tteriló,,"devastated, terminated etterieló – terminate, remove",,Extracted from page 259
3479,259,etterielóón,,"removal, termination of kitetter – devastation",,Extracted from page 259
3480,259,kitettereló,,devastated,,Extracted from page 259
3481,259,ttik,,"whistle, strum, sound	(of musical instrument, of a bird, etc.)",,Extracted from page 259
3482,259,ttikin,,"sound , etc. of",,Extracted from page 259
3483,259,ttikikúkkún,,play softly	(musical instrument),,Extracted from page 259
3484,259,ttikimmóng,,play loudly	(musical instrument),,Extracted from page 259
3485,259,ttikimmóngetá,,play louder ttikimmóngun – play loudly of,,Extracted from page 259
3486,259,ettik,,"play, performance	(musical instrument)",,Extracted from page 259
3487,260,ettiki,,to play	(a musical instrument),,Extracted from page 260
3488,260,nikáttik,,musical intrument,,Extracted from page 260
3489,260,ttin,,"shine (can be used figuratively), brightness, gleam, enlighten ttinéch – shine brightly",,Extracted from page 260
3490,260,tittin,,shining	(reduplication also conveys repetitive action),,Extracted from page 260
3491,260,tittinen,,brightness of tittineló – continues to shine,,Extracted from page 260
3492,260,ettina,,turn on	(light),,Extracted from page 260
3493,260,etittin,,"shine, accountable",,Extracted from page 260
3494,260,etittinen,,enlightenment of,,Extracted from page 260
3495,260,etittinna,,"to enlighten, to inquire",,Extracted from page 260
3496,260,etittinnafichi,,to shine brightly etittinnaéchú – same as “etittinnafichi”,,Extracted from page 260
3497,260,ttu,,to dig,,Extracted from page 260
3498,260,ttup,,collect and pool money from indiviuals for a purpose ttupulong – to put in a share,,Extracted from page 260
3499,260,ttur,,"drop, plunge	(different from “tur” – fall)",,Extracted from page 260
3500,260,"tturu, -ló, -tiw, -long,",,droped,,Extracted from page 260
3501,260,go down	in	(directionals,,"see page 1, #5)",,Extracted from page 260
3502,260,tturulóón,,droping of atturaatiw – to drop something,,Extracted from page 260
3503,261,tuf,,spit,,Extracted from page 261
3504,261,tufeiti,,to spit at atufa – to spit,,Extracted from page 261
3505,261,tufich,,"can, able to, ability",,Extracted from page 261
3506,261,atufichi,,enable,,Extracted from page 261
3507,261,tufichin,,able to tufichingaw – inability,,Extracted from page 261
3508,261,tufichingawen,,inability of,,Extracted from page 261
3509,261,túk,,"cover, package, wrap túken – package of",,Extracted from page 261
3510,261,túkúmi,,"cover, wrap",,Extracted from page 261
3511,261,túkúmaaló,,cover over túkútúk – cover,,Extracted from page 261
3512,261,túkútúkúló,,covered,,Extracted from page 261
3513,261,túkken,,"swim, swimming	(play in the water)",,Extracted from page 261
3514,261,túmún,,"protection, care for, be careful, guard túmúnún – protection of",,Extracted from page 261
3515,261,túmúnú,,"to protect, guard, care for, made sure",,Extracted from page 261
3516,262,túttúmúnú,,protecting	(reduplication also conveys repeditive action),,Extracted from page 262
3517,262,túmúnfengen,,"protect, care for each other",,Extracted from page 262
3518,262,"túmúnúfengeni, -kem, -kemi, -ir, -kich",,"to protect each of	(us, you (plural), etc.) us	you	them	us	(pronouns – see pg.1, #4)",,Extracted from page 262
